小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
查美妆,0,20725,0%,社交社区,护肤品购物攻略,爱阳光,2017-01-09,查美妆，由专注于美妆口碑查询与分享的闺蜜美妆开发。依托于亚洲最大化妆品库和最真实用户口碑，买化妆品前查一查，少花冤枉钱。,0.0
换算,0,20706,0%,工具计算器,计算工具计量单位换算,翼帆网络,2017-01-09,一款功能强大的国内外计量单位相互快速换算软件。内容包括：长度，功、能和热量，功率计量单位，面积，体积和容量计量单位等。,0.0
BlackWeed,0,20699,0%,音乐在线音乐,社交最新咨询,?,2017-01-09,"黑果官网TheBlackWeed.com，为乐手和乐迷提供专业的圈内服♂务。
请在微信直接搜索：“BlackWeed”。",0.0
ZTodo,1,20694,100%,工具查询,生活备忘录,姚晓哲,2017-01-09,一个轻量的todolist应用,5.0
界面阅读,0,20670,0%,阅读资讯,新闻视频最新资讯,界面阅读,2017-01-12,提供全品类精品新闻资讯,0.0
腾讯周边,0,20563,0%,购物商城,游戏影视动漫生活服务商城,贝勒爷,2017-01-09,正品周边商城，提供全面、实惠的企鹅形象周边、游戏动漫影视周边商品，以及其他服务等,0.0
飞常准查航班,3,20545,100%,出行航班,交通出行火车票酒店飞机票,尚飞,2016-12-28,飞常准小程序清爽来袭，精准航班信息轻松查，值机选座快人一步，怕延误就用飞常准！,5.0
订蛋糕+,1,20524,80%,购物商城,商城美食,生日管家,2017-01-03,"大牌蛋糕在线预订，最快3小时送达，更有限时抢购优惠多多。
合作商家包括：黑天鹅、21cake、元祖、味多美等等上百商家。",4.0
IP查询,1,20516,100%,工具查询,,xinhuazidian,2017-01-11,查询自己的IP地址； 查询某个IP 地址的位置 (国家 / 城市 / 纬度 / 经度 / 时区)、 管理员、维护者等信息。,5.0
新三板股票查询,0,20503,0%,金融理财,,神股票,2017-01-09,最火的新三板股票查询小程序，刷股价，查定增，找股东，读财报，想怎么查，就怎么查！,0.0
滴滴公交查询,0,20406,0%,出行交通,交通出行信息查询,滴滴公交查询,2017-01-12,滴滴公交查询,0.0
广东移动掌上服务厅,0,20374,0%,工具查询,,广东移动掌上服务厅,2017-01-12,广东移动客户可进入“广东移动掌上服务厅”小程序快速查询话费、流量、套餐余量等，随时随地掌握号码使用情况,0.0
图解电影精选,0,20374,0%,视频在线视频,电影社交电影评分,图解电影,2017-01-10,"图解电影，好玩有趣的图文弹幕电影分享社区！
让你换个姿势快速看全球热门电影！",0.0
赢了网法律服务,0,20345,0%,工具查询,法律服务律师法律咨询,赢了网,2017-01-10,资深律师和专家通过文字或电话解答法律问题，提供行动建议。业务覆盖各类民事纠纷和刑事案件。相关法律服务由赢了网独家提供。,0.0
X分子商城,0,20283,0%,购物商城,护肤品商城购物攻略生活服务,xer,2017-01-09,所见即所买，全球最全的正品时尚潮流单品一键购买。700+优质品牌库，发现你爱的，和你即将爱上的品牌。,0.0
印象笔记微清单,1,20276,100%,办公办公软件,生活服务购物清单创建学习,印象笔记,2017-01-09,印象笔记微清单帮你随时随地创建各种小清单。从购物、美食、旅行到工作学习，微清单都能助你一臂之力。,5.0
银如意资讯,0,20276,0%,金融创投,金融投资理财贵金属咨询,银如意资讯,2017-01-12,银如意资讯是由美国纳斯达克上市公司银科控股（NASDQ:YIN）旗下品牌-银如意负责运营，提供最新贵金属现货相关资讯的小程序应用。,0.0
群小助手,0,20268,0%,工具计算器,社交户外活动通知,方方,2017-01-09,群通知、群活动的好助手。通过群小助手，您可以发布通知和发起活动报名，发布完后分享到群里、聊天对话里，好友点击后可查看您发布的通知、参与活动报名。,0.0
美团生活,2,20236,70%,购物商城,电影玩乐生活服务,美团生活,2017-01-12,吃喝玩乐全都有：美食精选、外卖订餐、酒店预订、旅游团购、机票打折、电影特价等团购实惠根本停不下来！,3.5
吴晓波频道会员,5,20161,96%,金融理财,投资理财金融商业报告职场达人,吴晓波频道,2017-01-09,"超10万新锐中产在此共享知识。

吴晓波频道新锐会员权益：
1、每天听见吴晓波：聆听智者的拨云见雾
2、晓课堂/晓报告：学习系统的理财职场课程，探底最前沿的商业报告；
3、同读一本书：与10万新锐中产成为同伴，抱团取暖。",4.8
摩点微打赏,0,20158,0%,社交社区,筹款申请爱心筹款粉丝应援,摩点微打赏,2017-01-09,微打赏是一款社交圈的筹款工具，当你有任何筹款需求的时候，可以在相应分类下快速发起一个筹款申请，分享到社交平台获得支持，粉丝应援、爱心筹款、发布梦想。摩点微打赏，让筹款从未如此简单。,0.0
雪球炒股,1,20049,100%,金融理财,基金投资理财金融股票,pawaca,2017-01-09,1000万人在用的股票投资应用，牛人云集的投资者交流平台，每天获取无穷尽干货好贴，与真实的投资高手深入交流。,5.0
联途汇率换算,1,19999,100%,工具计算器,投资理财金融商业报告汇率换算,修道人,2017-01-09,联途汇率换算，是一款界面简约、操作简单、上手快捷、数据即时的汇率换算工具，支持人民币汇率、美元汇率等多达154种货币。,5.0
腾讯阅读,0,19978,0%,阅读电子书,小说名著古言现言,腾讯阅读,2017-01-20,腾讯阅读为用户提供网络小说，电子书，出版阅读服务。,0.0
开眼壁纸,2,19963,20%,图像美化滤镜,美图,开眼 Eyepetizer,2017-01-10,设计师精挑细选的海量高清高品质壁纸，涵盖风景、运动、旅行等多种分类，让你大开眼界。,1.0
下厨房+,1,19876,100%,生活美食,菜谱美食推荐美食社区,下厨房,2017-01-11,"中文菜谱更全，人气更高的美食社区；
----主要功能-----
★ 时令流行：根据不同节气，告诉你应该吃什么，三餐不重样；
★ 榜单推荐：进来看看被两万多人做过的一道菜谱是什么？
★ 人气社区：你尝试发布一道菜谱，会获得最真实的厨友点赞，交流心得提升厨艺；
★ 活动奖品：定期与品牌联合发布线上和线下活动征集令，赢奖品，交朋友；
★ 购买食材：联合达人推荐，帮你挑选最有品质的食材和厨具，瞬间成为身边人仰慕的美食专家。",5.0
FellowPlus创投数据库,0,19867,0%,金融创投,投资理财金融商业报告,李奶油,2017-01-04,用数据读懂早期投资。覆盖全网 28 万 + 互联网项目，通过多维、结构化的方式展示项目数据，让您准确、及时获取行业和项目信息。,0.0
孕期伴侣超级妈妈工具箱,0,19860,0%,母婴育儿,育儿女性健康,L,2017-01-09,"孕期伴侣超级妈妈工具箱是一款专为孕妈妈设计的微信小程序,为孕妈妈提供全周期的饮食,生活建议及胎动检测.致力于为孕妈妈提供全方位的呵护!",0.0
PM2.5空气质量,1,19805,80%,工具天气,空气质量监测健康出行,PM2.5空气质量,2017-01-09,提供全国各城市PM2.5空气质量监测数据，数据来源于国家环境保护部，供大家健康出行参考。,4.0
美甲帮找图,2,19758,100%,母婴美妆,美容护肤美妆视频DIY美甲,美甲帮,2017-01-09,千万美甲款式图片合集，轻松选款。通过视频教程，还可以学做DIY美甲哦～,5.0
微店轻便版,1,19701,100%,购物商城,购物创业商城,跳跳,2017-01-09,一分钟开店，商品分享，商品管理，订单管理,5.0
延迟退休计算器,0,19697,0%,工具计算器,效率生活服务,乡居网,2017-01-09,延迟退休时间计算器，帮你计算什么时候退休。,0.0
查查快递,2,19689,100%,工具查询,快递查询,guoyaxin895,2017-01-09,各种快递单号查询，扫码自动识别快递单(包含：顺丰、中通、申通、圆通、百世汇通等)，查询快递收送范围，用查查快递100个省心。,5.0
铂涛旅行官方,2,19629,100%,旅游酒店住宿,,铂涛旅行,2017-01-09,铂涛旅行官方小程序发布啦！两步即可预定，订单及时确认，为您的旅行保驾护航~可预订铂涛集团旗下酒店品牌。7天、IU、派酒店、丽枫、喆·啡、城品、希尔顿欢朋...从经济连锁型酒店到国内外中高端特色酒店一应俱全，满足你的不同需求。,5.0
携程酒店机票火车票,5,19605,100%,旅游旅行,交通出行火车票酒店飞机票,ctrip,2017-01-09,携程旅行网小程序，提供酒店、机票、火车票、汽车票、门票预订服务。,5.0
乐词斩,0,19598,0%,教育单词字典,学习工具英语单词速记,小号斯密达,2017-01-09,新东方在线官方推出的背单词小程序，每天斩获15个单词，轻松掌握单词奥义，还有学霸模式随心斩。现有大学英语四级和六级词库。,0.0
uni通告助手,0,19566,0%,办公办公软件,工作通告通告查询,遠,2017-01-09,来自蘑菇街旗下uni的小程序。每日汇聚大量工作通告，帮助红人快速、便捷、准确地接到工作通告。,0.0
分期计算器,0,19537,0%,工具计算器,分期信用卡计算类,咪能????,2017-01-09,银行信用卡账单分期还款计算器,0.0
王者荣耀赛事,10,19525,100%,社交娱乐,王者荣耀赛事资讯游戏娱乐手游,王者荣耀赛事,2017-01-11,《王者荣耀》赛事中心微信小程序目前提供赛事直播、点播、官方资讯和战队信息等内容，玩家只需在微信-发现-小程序中点开“王者荣耀赛事”即可秒速开启观赛通道，启动速度比APP还快哦!同时，小程序中各项功能完善，内容充实，绝对是王者玩家必备小程序哦!,5.0
快趣投,0,19473,0%,工具查询,投票评选定日子,快趣投,2017-01-09,投票召集聚会，定日子，上哪吃，活动评选。大事小事，一票敲定！来自公众号万言趣投，快趣投！,0.0
XMBABY喜梦宝贝家纺,0,19453,0%,购物商城,家纺商城购物攻略生活服务,e宝贝家纺,2017-01-09,专业青少年儿童家居用品，儿童家具，生活用品品牌。,0.0
钢琴优课,1,19374,100%,教育儿童教育,学习工具微课堂学习辅导,蝌蚪课,2017-01-07,您手机上优选的免费钢琴课。,5.0
驾校一点通|亿万学员的驾考宝典,0,19308,0%,教育驾考,,驾校一点通,2017-01-11,驾校一点通，全国驾校推荐考驾必备！系统的学习模式和全真模拟考试能有效帮助学员熟悉交通法规，拿驾照更有保障！,0.0
牛家帮家政,0,19274,0%,生活家政服务,家政服务保洁保姆钟点工,牛家帮niuhome,2017-01-10,牛家帮，国内唯一一家非中介电商家政服务公司。以安全、快速、标准为服务宗旨。为用户提供新理念家庭保洁。我们用心，请您放心！,0.0
汽车报价库,0,19095,0%,生活汽车,购车资讯汽车报价购车,玩车教授,2017-01-09,汽车报价库囊括9000多款车型，全国20000多家合作经销商，为您提供最专业贴心的汽车查询服务。,0.0
小区拼团号,0,19094,0%,购物团购,,Feng,2017-01-09,和小区邻居好友一起拼团，优质食材零食，产地直发到家。优质好货，拼团更省钱，快来一起拼吧,0.0
朝夕万年历,0,19081,0%,工具日历,效率天气定日子万年历,小朝,2017-01-10,简洁优雅无广告的万年历，查农历、班休、宜忌、天气,0.0
小D词典,1,19011,100%,教育单词字典,学习工具英语单词速记在线词典,徐勇,2017-01-04,沪江小D词典是沪江推出的国内领先的多语种在线词典。界面清爽简洁，内容专业权威以及功能实用，让它成为千万用户的查词首选。,5.0
去哪儿酒店,11,18973,100%,旅游酒店住宿,交通出行火车票酒店飞机票,去哪儿网,2017-01-09,去哪儿网酒店小程序发布啦！为您精选全网48万家酒店；免登录，两步即可预订，订单及时确认，为您的酒店之旅保驾护航~,5.0
汇率换算助手,0,18944,0%,工具计算器,汇率换算投资理财金融,滴答网,2017-01-09,查汇率用汇率换算助手，出国留学移民旅游必备工具，支持全球一百多个国家和地区的即时汇率精确换算，是不可多得的贴心管家。,0.0
动动文字,0,18923,0%,社交表情头像,搞笑段子媒体广告趣味阅读表情,动动文字,2017-01-09,纯文字动态表情制作神器，把你任意的话都变成炫酷贱萌的动态文字表情。简直是聊天、耍酷、卖萌、祝福必备的终极神器！用一用，保准让你的朋友惊讶不已~！（下面的截屏是静态图，实际动态效果超级棒的哦~）,0.0
闪电刷新用户版,3,18910,100%,生活家装,买房必备房产信息装修顾问,闪电刷新,2017-01-09,闪电刷新，专业墙面刷新专家。极致保护，无须动手，施工满意后再付款。手机免费预约，一键焕新家。,5.0
